2434,1234,6674,8602,11645,11686,12249,14846,15127,15672,17470,
2439,24308,18881,33457,124,29317,8145,29043,22852,27409,81,
2458,9254,23164,7010,21754,14326,190,1105,1373,4699,7002,
2461,28968,4529,25964,20929,855,14523,22286,21739,30807,22905,
2485,7956,2176,727,1234,1607,1629,2434,4315,6674,8602,
2496,2807,8034,16766,18004,33616,34228,15460,28358,5309,11678,
2532,35287,4728,5919,23423,12619,
2534,665,1846,1851,2173,4220,6232,7201,7988,9310,9602,
2547,2775,2224,7764,13717,19437,19507,20055,20677,21119,24785,
2574,17084,4108,4424,4494,6269,18398,18966,23645,26325,26857,
2577,191,1486,3844,4529,6265,8623,10554,13419,13829,15083,
2578,12191,22884,12042,19493,27004,18212,5404,5419,12028,19054,
2603,15081,20294,30545,36074,31614,31925,20507,20543,30254,4667,
2606,5522,12370,16504,21168,23269,23809,24136,25237,26717,35881,
2609,7505,15946,22234,23100,24041,28373,6168,295,12587,1292,
2610,727,1234,1629,2434,6674,8602,11645,11686,12249,14846,
2623,2148,7451,9514,11519,13432,19690,23173,25854,36028,25106,
2624,27137,
2634,12042,32350,3349,11364,12191,20752,27004,25071,906,3128,
2635,167,819,1378,2346,2556,3103,3170,3430,3781,4712,
2657,27983,10850,14426,29357,1183,2500,2828,3460,5302,5422,
2677,11443,11455,17013,25906,31480,26237,1057,33665,38,11019,
2679,10812,34473,35955,8576,24248,12306,13723,19611,4302,9537,
2680,885,23066,34477,18984,9862,474,167,819,1378,2026,
2684,28488,221,8623,10554,13829,28387,33726,4280,35853,20973,
2690,711,1832,4419,8035,8162,8292,9105,10841,11621,12716,
2704,7416,8062,14778,26178,31995,31730,30713,27714,20543,33794,
2712,19735,9496,9939,34787,1770,13375,28709,3179,13479,2451,
2716,13462,21722,22066,990,32923,19194,17110,24295,25085,14341,
2731,1488,23510,6740,21718,34731,261,8566,20805,24481,807,
2772,15831,5360,32598,22862,27551,22086,22586,4930,29527,7942,
2774,12364,28130,27526,10692,6905,15617,27412,31613,302,429,
2775,5801,21177,25433,27883,31023,34164,20185,34553,25878,30230,
2779,10948,28020,3768,4188,6687,7572,8160,9782,10059,14876,
2783,302,429,1947,6984,8032,8576,11993,12522,13987,14523,
2788,1888,133,261,437,543,1139,1197,2254,2616,3807,
